,0
0,COG2837
1,COG0803
2,COG4992
3,COG0491
4,COG2070
5,COG1680
6,COG3824
7,COG2936
8,COG0517
9,COG1146
10,COG2452
11,COG3320
12,COG0491
13,COG2030
14,COG1472
15,COG2606
16,COG0204
17,COG1201
18,COG1167
19,COG1024
20,COG1835
21,COG0583
22,COG0714
23,COG1835
24,COG4195
25,COG0553
26,COG1613
27,COG3631
28,COG4185
29,COG0657
30,COG1024
31,COG0204
32,COG1414
33,COG3360
34,COG0524
35,COG2040
36,COG3321
37,COG2365
38,COG0590
39,COG1770
40,COG1123
41,COG0020
42,COG1960
43,COG2801
44,COG1180
45,COG0526
46,COG2838
47,COG0662
48,COG4119
49,COG2030
50,COG0675
51,COG0624
52,COG0640
53,COG0596
54,COG2030
55,COG1773
56,COG0488
57,COG1053
58,COG1985
59,COG1522
60,COG2015
61,COG0115
62,COG0693
63,COG0286
64,COG0546
65,COG1309
66,COG1670
67,COG3173
68,COG0110
69,COG1507
70,COG0822
71,COG1018
72,COG3239
73,COG3427
74,COG3321
75,COG0145
76,COG0146
77,COG3391
78,COG1131
79,COG1024
80,COG1141
81,COG3145
82,COG4208
83,COG0834
84,COG0392
85,COG0142
86,COG4988
87,COG0451
88,COG3429
89,COG1674
90,COG1134
91,COG1205
92,COG2070
93,COG3839
94,COG0815
95,COG3804
96,COG1680
97,COG3039
98,COG2873
99,COG3393
100,COG2314
101,COG1233
102,COG3221
103,COG0799
104,COG0389
105,COG3349
106,COG0521
107,COG1575
108,COG4420
109,COG0196
110,COG3039
111,COG4760
112,COG0657
113,COG0147
114,COG0251
115,COG2265
116,COG0006
117,COG2114
118,COG1820
119,COG1119
120,COG0451
121,COG1819
122,COG0714
123,COG1012
124,COG2049
125,COG0236
126,COG0277
127,COG1574
128,COG0476
129,COG1680
130,COG0561
131,COG1611
132,COG0791
133,COG0399
134,COG1249
135,COG1387
136,COG1309
137,COG4825
138,COG0526
139,COG1109
140,COG2272
141,COG2951
142,COG1012
143,COG3884
144,COG0767
145,COG3695
146,COG0451
147,COG0076
148,COG0277
149,COG0210
150,COG2887
151,COG1960
152,COG0657
153,COG0657
154,COG1021
155,COG0629
156,COG2020
157,COG2343
158,COG1686
159,COG2258
160,COG2087
161,COG5450
162,COG1012
163,COG1309
164,COG2367
165,COG0599
166,COG0318
167,COG0210
168,COG2887
169,COG1946
170,COG1680
171,COG2151
172,COG0318
173,COG1828
174,COG0454
175,COG0235
176,COG1725
177,COG3226
178,COG0488
179,COG1282
180,COG1960
181,COG1396
182,COG2856
183,COG2068
184,COG1522
185,COG0607
186,COG0640
187,COG1309
188,COG2159
189,COG1975
190,COG0599
191,COG1680
192,COG1192
193,COG1321
194,COG2027
195,COG1024
196,COG1250
197,COG0755
198,COG1835
199,COG1695
200,COG3261
201,COG3262
202,COG3428
203,COG0582
204,COG1266
205,COG1960
206,COG4849
207,COG2223
208,COG3509
209,COG1233
210,COG3288
211,COG0318
212,COG0455
213,COG3329
214,COG0003
215,COG1902
216,COG0604
217,COG2080
218,COG0513
219,COG1409
220,COG1131
221,COG1937
222,COG2826
223,COG1982
224,COG4122
225,COG0277
226,COG0318
227,COG1550
228,COG1061
229,COG5586
230,COG1154
231,COG0596
232,COG1559
233,COG0455
234,COG2135
235,COG1529
236,COG4293
237,COG0412
238,COG1305
239,COG1266
240,COG0346
241,COG1656
242,COG1359
243,COG1305
244,COG0654
245,COG2259
246,COG0491
247,COG3402
248,COG0657
249,COG1175
250,COG1472
251,COG1680
252,COG2966
253,COG3610
254,COG1113
255,COG2951
256,COG1175
257,COG0745
258,COG0312
259,COG2307
260,COG1366
261,COG0142
262,COG0604
263,COG0767
264,COG0564
265,COG2968
266,COG2133
267,COG1028
268,COG1686
269,COG0330
270,COG0015
271,COG1366
272,COG2184
273,COG3285
274,COG5651
275,COG1062
276,COG1024
277,COG1403
278,COG1316
279,COG2114
280,COG2030
281,COG0642
282,COG3509
283,COG1162
284,COG1173
285,COG0038
286,COG0659
287,COG1732
288,COG0454
289,COG1680
290,COG2141
291,COG0243
292,COG3480
293,COG2306
294,COG0671
295,COG0714
296,COG3233
297,COG0121
298,COG3576
299,COG0406
300,COG0394
301,COG0798
302,COG0142
303,COG0318
304,COG2270
305,COG0842
306,COG1316
307,COG1957
308,COG2771
309,COG3903
310,COG0183
311,COG0470
312,COG1366
313,COG0661
314,COG1917
315,COG1545
316,COG2771
317,COG3315
318,COG3879
319,COG0624
320,COG0590
321,COG1056
322,COG3172
323,COG4861
324,COG0769
325,COG3344
326,COG2771
327,COG3903
328,COG0169
329,COG0607
330,COG2109
331,COG1085
332,COG1024
333,COG0398
334,COG1975
335,COG3616
336,COG2733
337,COG3324
338,COG1842
339,COG0614
340,COG1716
341,COG5651
342,COG1300
343,COG1755
344,COG1305
345,COG1960
346,COG3328
347,COG0446
348,COG3651
349,COG0767
350,COG0526
351,COG0526
352,COG0767
353,COG1038
354,COG5479
355,COG0479
356,COG0455
357,COG0204
358,COG0560
359,COG0183
360,COG3304
361,COG1089
362,COG2345
363,COG5305
364,COG5651
365,COG2899
366,COG0526
367,COG0655
368,COG0454
369,COG0705
370,COG2856
371,COG2197
372,COG0657
373,COG0642
374,COG0627
375,COG2142
376,COG0767
377,COG1463
378,COG1463
379,COG2508
380,COG2272
381,COG2146
382,COG4653
383,COG2345
384,COG0582
385,COG3804
386,COG1373
387,COG0204
388,COG2180
389,COG1964
390,COG2223
391,COG0654
392,COG1721
393,COG0398
394,COG1993
395,COG0491
396,COG4293
397,COG1061
398,COG1028
399,COG3267
400,COG1984
401,COG1466
402,COG1946
403,COG0071
404,COG2068
405,COG0617
406,COG1555
407,COG2119
408,COG0420
409,COG3173
410,COG2159
411,COG2114
412,COG4762
413,COG2173
414,COG4653
415,COG2508
416,COG3119
417,COG1266
418,COG0183
419,COG0318
420,COG0604
421,COG0842
422,COG1960
423,COG0663
424,COG1012
425,COG1319
426,COG1294
427,COG1482
428,COG0543
429,COG1670
430,COG1316
431,COG0119
432,COG2936
433,COG2345
434,COG0446
435,COG0477
436,COG0675
437,COG1285
438,COG3547
439,COG1839
440,COG0569
441,COG1530
442,COG0277
443,COG0789
444,COG0277
445,COG2104
446,COG1960
447,COG0650
448,COG0251
449,COG3391
450,COG0395
451,COG3321
452,COG1053
453,COG1071
454,COG1653
455,COG3243
456,COG1835
457,COG0028
458,COG0179
459,COG0491
460,COG0791
461,COG1461
462,COG1773
463,COG0726
464,COG3319
465,COG0318
466,COG2272
467,COG0664
468,COG0668
469,COG3222
470,COG1804
471,COG0847
472,COG1053
473,COG3797
474,COG0693
475,COG0647
476,COG1853
477,COG2353
478,COG3971
479,COG3321
480,COG0399
481,COG0640
482,COG3832
483,COG1926
484,COG1063
485,COG1112
486,COG2251
487,COG0405
488,COG0443
489,COG0464
490,COG1051
491,COG1252
492,COG2229
493,COG2354
494,COG4328
495,COG0582
496,COG0604
497,COG3260
498,COG1875
499,COG1610
500,COG2907
501,COG0475
502,COG3247
503,COG0183
504,COG0574
505,COG0003
506,COG1884
507,COG1752
508,COG2887
509,COG2070
510,COG1484
511,COG1485
512,COG0616
513,COG0675
514,COG0517
515,COG0590
516,COG3328
517,COG2267
518,COG3378
519,COG0601
520,COG3559
521,COG0644
522,COG1132
523,COG0577
524,COG3464
525,COG1484
526,COG2331
527,COG1977
528,COG1024
529,COG2818
530,COG1295
531,COG1192
532,COG0584
533,COG2605
534,COG3119
535,COG0500
536,COG5479
537,COG3839
538,COG1545
539,COG1140
540,COG2064
541,COG0785
542,COG0387
543,COG4422
544,COG0824
545,COG5297
546,COG2508
547,COG1217
548,COG0526
549,COG0155
550,COG1680
551,COG5651
552,COG1271
553,COG1108
554,COG3246
555,COG0183
556,COG0349
557,COG0596
558,COG0789
559,COG1804
560,COG1295
561,COG1960
562,COG0657
563,COG0314
564,COG1977
565,COG1733
566,COG2030
567,COG0521
568,COG3564
569,COG0300
570,COG1506
571,COG2273
572,COG2259
573,COG3039
574,COG4584
575,COG4799
576,COG1721
577,COG0535
578,COG1574
579,COG1714
580,COG3231
581,COG0390
582,COG5650
583,COG0732
584,COG1239
585,COG0658
586,COG0393
587,COG1208
588,COG0791
589,COG2253
590,COG0383
591,COG4965
592,COG0494
593,COG1316
594,COG2303
595,COG0531
596,COG3662
597,COG1597
598,COG2220
599,COG1028
600,COG0183
601,COG3740
602,COG0767
603,COG3662
604,COG0451
605,COG1752
606,COG1463
607,COG0494
608,COG3687
609,COG1331
610,COG1088
611,COG0154
612,COG0708
613,COG0288
614,COG0659
615,COG0494
616,COG0732
617,COG1028
618,COG1125
619,COG1359
620,COG0476
621,COG0607
622,COG3321
623,COG4166
624,COG3328
625,COG0346
626,COG1168
627,COG1285
628,COG1113
629,COG2977
630,COG1989
631,COG1252
632,COG1408
633,COG1463
634,COG4584
635,COG0030
636,COG1473
637,COG2154
638,COG0491
639,COG1585
640,COG0243
641,COG3619
642,COG2246
643,COG3327
644,COG0479
645,COG0012
646,COG0824
647,COG2755
648,COG3039
649,COG3547
650,COG3552
651,COG2128
652,COG3547
653,COG2020
654,COG1233
655,COG3953
656,COG1024
657,COG0436
658,COG1028
659,COG0501
660,COG3662
661,COG1878
662,COG1028
663,COG1960
664,COG0614
665,COG3464
666,COG2409
667,COG0308
668,COG0412
669,COG0346
670,COG1131
671,COG3293
672,COG1175
673,COG1473
674,COG4425
675,COG0451
676,COG1463
677,COG0395
678,COG0340
679,COG1373
680,COG1278
681,COG2050
682,COG1695
683,COG0229
684,COG3747
685,COG0762
686,COG1266
687,COG1297
688,COG0150
689,COG0596
690,COG1305
691,COG4196
692,COG2898
693,COG1032
694,COG2030
695,COG5579
696,COG2452
697,COG1251
698,COG4889
699,COG2070
700,COG2606
701,COG1846
702,COG2452
703,COG1020
704,COG0675
705,COG1210
706,COG2239
707,COG1659
708,COG0212
709,COG4992
710,COG0007
711,COG1587
712,COG0506
713,COG0265
714,COG3571
715,COG0354
716,COG0555
717,COG0598
718,COG1024
719,COG2138
720,COG0714
721,COG2802
722,COG1062
723,COG1089
724,COG0183
725,COG0744
726,COG0247
727,COG2452
728,COG1414
729,COG1012
730,COG1752
731,COG0778
732,COG0543
733,COG1234
734,COG1020
735,COG3502
736,COG1004
737,COG3321
738,COG0142
739,COG0604
740,COG0392
741,COG1429
742,COG0767
743,COG1024
744,COG1835
745,COG0739
746,COG3119
747,COG0490
748,COG0265
749,COG0494
750,COG1940
751,COG0714
752,COG4402
753,COG1847
754,COG0534
755,COG0596
756,COG0582
757,COG0277
758,COG0531
759,COG3747
760,COG3361
761,COG0007
762,COG1648
763,COG1715
764,COG5621
765,COG1770
766,COG1055
767,COG0839
768,COG0204
769,COG2220
770,COG3376
771,COG3918
772,COG0745
773,COG0312
774,COG0436
775,COG1484
776,COG3285
777,COG0174
778,COG1028
779,COG1682
780,COG0566
781,COG0108
782,COG4453
783,COG1461
784,COG0785
785,COG0405
786,COG0179
787,COG0815
788,COG0531
789,COG4427
790,COG0455
791,COG2343
792,COG2120
793,COG3740
794,COG0566
795,COG0501
796,COG0318
797,COG2801
798,COG4243
799,COG0582
800,COG0300
801,COG3214
802,COG1463
803,COG0477
804,COG0675
805,COG2801
806,COG4453
807,COG1028
808,COG2181
809,COG1714
810,COG0318
811,COG0122
812,COG3786
813,COG1609
814,COG0742
815,COG3442
816,COG3832
817,COG0778
818,COG0607
819,COG0640
820,COG5282
821,COG0491
822,COG1846
823,COG0033
824,COG0443
825,COG1853
826,COG0651
827,COG4122
828,COG1023
829,COG0768
830,COG0431
831,COG0439
832,COG0511
833,COG1846
834,COG1505
835,COG1853
836,COG3552
837,COG1545
838,COG0500
839,COG1587
840,COG3710
841,COG0277
842,COG1024
843,COG3328
844,COG2452
845,COG2343
846,COG3547
847,COG0488
848,COG1226
849,COG3670
850,COG0596
851,COG1651
852,COG1109
853,COG0396
854,COG1653
855,COG0607
856,COG0031
857,COG1802
858,COG1085
859,COG3226
860,COG0655
861,COG1522
862,COG2188
863,COG2072
864,COG0204
865,COG1309
866,COG2110
867,COG0657
868,COG2186
869,COG3030
870,COG1174
871,COG0474
872,COG0366
873,COG0174
874,COG1804
875,COG2128
876,COG0219
877,COG1333
878,COG4799
879,COG1414
880,COG1174
881,COG1012
882,COG2508
883,COG1463
884,COG0500
885,COG0745
886,COG2072
887,COG1309
888,COG0277
889,COG2835
890,COG1018
891,COG1309
892,COG3590
893,COG4799
894,COG1070
895,COG3288
896,COG1028
897,COG4770
898,COG3554
899,COG0027
900,COG0318
901,COG0304
902,COG0331
903,COG2030
904,COG4981
905,COG4982
906,COG0477
907,COG0183
908,COG1040
909,COG2128
910,COG0665
911,COG4889
912,COG0446
913,COG1902
914,COG2508
915,COG0362
916,COG1020
917,COG1612
918,COG1752
919,COG0526
920,COG0675
921,COG1680
922,COG2072
923,COG0668
924,COG1228
925,COG0767
926,COG5282
927,COG1250
928,COG0456
929,COG0439
930,COG1695
931,COG0395
932,COG0596
933,COG3039
934,COG3482
935,COG1386
936,COG2114
937,COG2771
938,COG3903
939,COG0463
940,COG2159
941,COG1653
942,COG2041
943,COG0265
944,COG1354
945,COG2138
946,COG0265
947,COG1950
948,COG1961
949,COG3464
950,COG2262
951,COG2072
952,COG2740
