ABC-13-CPLX,COG0834,COG0765,COG0765,COG1126,,,,,,,,,,,,,,,,,,,,,,,
ABC-46-CPLX,COG1172,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7976,COG2911,COG0729,,,,,,,,,,,,,,,,,,,,,,,,,
TATABCE-CPLX,COG1826,COG0805,COG1826,COG1826,,,,,,,,,,,,,,,,,,,,,,,
ABC-45-CPLX,COG2854,COG1127,COG0767,COG1463,COG3113,,,,,,,,,,,,,,,,,,,,,,
CPLX-170,COG3444,COG3715,COG3716,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-240,COG0191,COG4573,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7656,COG3114,COG2332,COG0755,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3241,COG1145,COG0348,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1341,COG0719,COG0396,COG0719,,,,,,,,,,,,,,,,,,,,,,,,
ABC-58-CPLX,COG1879,COG1172,COG1172,COG1129,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3970,COG0601,COG1173,COG0444,COG4608,COG4166,,,,,,,,,,,,,,,,,,,,,,
ABC-49-CPLX,COG1123,COG0747,COG1173,COG0601,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7916,COG2197,COG2197,,,,,,,,,,,,,,,,,,,,,,,,,
EIISGC,COG3414,COG3775,COG1762,,,,,,,,,,,,,,,,,,,,,,,,
ABC-53-CPLX,COG0795,COG1137,COG0795,,,,,,,,,,,,,,,,,,,,,,,,
NRDACTMULTI-CPLX,COG1328,COG0602,COG1018,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7561,COG2337,COG2336,,,,,,,,,,,,,,,,,,,,,,,,,
ECNAB-CPLX,COG5510,COG5510,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-42-CPLX,COG1129,COG1172,COG1522,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7807,COG1538,COG1289,COG1566,,,,,,,,,,,,,,,,,,,,,,,,
NRFMULTI-CPLX,COG3301,COG0437,NOG06663,COG3303,,,,,,,,,,,,,,,,,,,,,,,
CPLX-160,COG1299,COG1445,COG1445,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-159,COG1299,COG1762,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7852,COG2197,COG2771,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-3942,COG2168,COG2923,COG1553,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3382,COG3031,COG1450,COG2804,COG1459,COG2165,COG2165,COG2165,COG4795,COG3156,COG3297,COG3149,COG1989,,,,,,,,,,,,,,,
CPLX0-4,COG1566,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7610,COG3444,COG3715,,,,,,,,,,,,,,,,,,,,,,,,,
LTARTDEHYDRA-CPLX,COG1951,COG1838,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7458,COG0277,COG0277,COG0247,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1841,COG1529,COG1319,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-761,COG1529,COG1319,COG2080,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7934,COG1589,COG0208,COG3116,,,,,,,,,,,,,,,,,,,,,,,,
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,COG0209,COG0208,,,,,,,,,,,,,,,,,,,,,,,,,
HCAMULTI-CPLX,COG2146,COG0446,COG5517,COG4638,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-250,COG3262,COG3260,COG1142,COG0651,COG0650,COG1009,COG4237,COG0651,COG1143,,,,,,,,,,,,,,,,,,
