P46133,ENOG4105CFC;COG2978;
P0A6A3,ENOG4105C6H;COG0282;
P0ACN4,ENOG4108N16;COG1414;
P29012,ENOG4105CJ4;COG0787;
P0AB85,ENOG4105CJ2;COG1477;
P26459,ENOG4105C4M;COG1271;
P24244,
P75712,ENOG4105EW8;COG1953;
P05050,ENOG4105CF1;COG3145;
P46883,ENOG4105F11;COG3733;
P04825,ENOG4105CD8;COG0308;
P00811,ENOG41066YJ;COG1680;
P77610,ENOG4105C85;COG1113;
P05637,ENOG4105DDT;COG0639;
P69681,ENOG4105BZU;ENOG410XNMH;
P0AD70,ENOG4107R6D;COG1680;
P68767,ENOG4105BZ6;COG0260;
P0AE14,ENOG4106A72;COG3725;
P15034,ENOG4107RAQ;COG0006;
P36548,ENOG4108KNB;COG0860;
P31440,ENOG4105C7N;COG2252;
Q93K97,ENOG41087AY;ENOG410ZYVG;
P19926,ENOG4105D6F;ENOG410XRK8;
P77256,ENOG4105CPC;COG0667;
P42906,COG1820;
P37685,ENOG4105C26;COG1012;
P42601,ENOG4105DU1;COG0861;
P26365,ENOG4105C5C;COG0860;
P63883,ENOG4105C5C;COG0860;
P00561,ENOG4105CFH;COG0460;COG0527;
P33224,ENOG4105CSU;COG1960;
P0AE12,ENOG4105FYV;COG0775;
P0AE16,ENOG4105EYM;COG0477;
P0A955,ENOG4108UHU;COG0800;
P25553,ENOG4105C26;COG1012;
P77731,ENOG4108Z2U;COG3194;
P0A6B4,ENOG4105CJ4;COG0787;
P42907,ENOG4105E70;COG2222;
P0AB65,ENOG4105VSY;COG1254;
P22333,ENOG4105EKD;COG1816;
P23872,ENOG4105F2M;COG0657;
P0ACK2,ENOG4105E98;COG1349;
P45565,ENOG4108WMR;ENOG4111KYS;
P24181,ENOG4105BZS;COG0841;
P0AAW9,
P31441,ENOG4105CPN;COG1001;
P42912,ENOG4106HBN;COG0363;
P39180,ENOG4105F4K;COG3468;
P60061,ENOG4105D5Q;COG0531;
P0A9Q7,ENOG4105C0A;COG1012;COG1454;
P36683,ENOG4107QIJ;COG1049;
P0ACS9,ENOG4107XI7;COG1309;
P39451,ENOG4105DQ4;COG1064;
P37623,ENOG4107YAK;COG2091;
P24180,ENOG4105C1P;ENOG410XNVN;
P31224,ENOG4105BZS;COG0841;
P28629,ENOG4105CXN;COG1982;
P51981,ENOG4107S8C;COG4948;
P76518,ENOG4105C04;COG1804;
P0A6A8,COG0236;
P37127,ENOG4105BZ8;COG0493;COG1142;
P0AE08,ENOG4105D3R;COG0450;
P06134,ENOG4105K85;COG0350;COG2169;
P37686,ENOG4105C0A;COG1454;
P06720,ENOG4105F8D;COG1486;
P27550,ENOG4108IQF;COG0365;
P33234,ENOG4106ZGR;ENOG4110B0F;
P31466,ENOG4105C7N;COG2252;
P50466,ENOG4107RHT;COG0840;COG2202;
P00509,ENOG4105CGF;COG1448;
P77744,ENOG4106KR7;ENOG410XQ2C;
P77674,ENOG4105C26;COG1012;
P77357,ENOG4105CH2;COG1473;
P0ABD5,ENOG4107QM9;COG0825;
P46481,ENOG4107Z11;COG1289;
P75747,ENOG4108KK1;COG3180;
P46854,ENOG4105WCN;COG0454;
P46478,
P76464,
P52697,ENOG4105HHQ;COG2706;
P05100,ENOG4108R3E;COG2818;
P04395,ENOG4105D03;COG0122;
