Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
ABC-13-CPLX,COG0834,COG0765,COG0765,COG1126,,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'GLTK_ECOLI', 'EVGS_ECOLI', 'YECS_ECOLI', 'YECC_ECOLI', 'HISJ_ECOLI', 'GLTJ_ECOLI', 'YHDZ_ECOLI', 'FLIY_ECOLI', 'GLNP_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'GLNQ_ECOLI', 'GLTI_ECOLI', 'YHDY_ECOLI', 'GLTL_ECOLI']",0.25,['P96257_MYCTU'],0.25,['Q9CCX0_MYCLE'],0,[],0,[]
ABC-46-CPLX,COG1172,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,,1,"['ARAH_ECOLI', 'RBSB_ECOLI', 'TORT_ECOLI', 'RBSA_ECOLI', 'ARAF_ECOLI', 'LSRC_ECOLI', 'YTFR_ECOLI', 'YPHD_ECOLI', 'MGLA_ECOLI', 'RBSC_ECOLI', 'XYLG_ECOLI', 'ALSB_ECOLI', 'ALSC_ECOLI', 'ALSA_ECOLI', 'YPHF_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'DGAL_ECOLI', 'LSRA_ECOLI']",0,[],0.75,"['Q49738_MYCLE', 'Q9CCU8_MYCLE']",0,[],0,[]
CPLX0-7976,COG2911,COG0729,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TAMB_ECOLI', 'TAMA_ECOLI']",0,[],0,[],0.5,['Y087_BUCAI'],0,[]
TATABCE-CPLX,COG1826,COG0805,COG1826,COG1826,,,,,,,,,,,,,,,,,,,,,,,,1,"['TATC_ECOLI', 'TATE_ECOLI', 'TATB_ECOLI', 'TATA_ECOLI']",1,"['TATC_MYCTU', 'TATB_MYCTU']",1,"['TATA_MYCLE', 'Q9CCA4_MYCLE', 'TATC_MYCLE']",0,[],0,[]
ABC-45-CPLX,COG2854,COG1127,COG0767,COG1463,COG3113,,,,,,,,,,,,,,,,,,,,,,,1,"['MLAC_ECOLI', 'MLAD_ECOLI', 'MLAE_ECOLI', 'MLAF_ECOLI', 'MLAB_ECOLI']",0.6,"['O07415_MYCTU', 'O07784_MYCTU', 'Q79FZ9_MYCTU', 'O07790_MYCTU', 'I6Y3P5_MYCTU', 'O53966_MYCTU', 'Q79FY7_MYCTU', 'O53965_MYCTU', 'I6Y870_MYCTU', 'O07414_MYCTU', 'O53546_MYCTU', 'I6XHD6_MYCTU', 'L0T2W6_MYCTU', 'MKL_MYCTU', 'O07412_MYCTU', 'L0T2Q9_MYCTU']",0.6,"['Q9CD16_MYCLE', 'MKL_MYCLE', 'Q9CD14_MYCLE', 'Q9CD09_MYCLE', 'Q9CD13_MYCLE', 'Q9CD12_MYCLE', 'Q9CD15_MYCLE']",0,[],0,[]
CPLX-170,COG3444,COG3715,COG3716,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTNC_ECOLI', 'PTPB2_ECOLI', 'PTPB1_ECOLI', 'PTND_ECOLI', 'PTNAB_ECOLI', 'PTPC1_ECOLI', 'PTPD_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-240,COG0191,COG4573,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['GATZ_ECOLI', 'GATY_ECOLI', 'YDJI_ECOLI', 'KBAZ_ECOLI', 'KBAY_ECOLI', 'ALF_ECOLI']",0.5,['ALF_MYCTU'],0.5,['ALF_MYCLE'],0.5,['ALF_BUCAI'],0.5,['Q057F8_BUCCC']
CPLX0-7656,COG3114,COG2332,COG0755,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CCME_ECOLI', 'CCMC_ECOLI', 'CCMD_ECOLI']",0.333333333,['O06393_MYCTU'],0.333333333,['Q7APV1_MYCLE'],0,[],0,[]
CPLX0-3241,COG1145,COG0348,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YCCM_ECOLI', 'YFHL_ECOLI', 'NAPH_ECOLI', 'NAPF_ECOLI', 'NAPG_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1341,COG0719,COG0396,COG0719,,,,,,,,,,,,,,,,,,,,,,,,,1,"['SUFC_ECOLI', 'SUFB_ECOLI', 'SUFD_ECOLI']",1,"['Y1462_MYCTU', 'Y1461_MYCTU', 'O53154_MYCTU']",1,"['Q7AQH5_MYCLE', 'Y593_MYCLE', 'Y594_MYCLE']",0,[],0,[]
ABC-58-CPLX,COG1879,COG1172,COG1172,COG1129,,,,,,,,,,,,,,,,,,,,,,,,1,"['ARAH_ECOLI', 'RBSB_ECOLI', 'TORT_ECOLI', 'RBSA_ECOLI', 'ARAF_ECOLI', 'LSRC_ECOLI', 'YTFR_ECOLI', 'YPHD_ECOLI', 'MGLA_ECOLI', 'RBSC_ECOLI', 'XYLG_ECOLI', 'ALSB_ECOLI', 'ALSC_ECOLI', 'ALSA_ECOLI', 'YPHF_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'DGAL_ECOLI', 'LSRA_ECOLI']",0,[],0.75,"['Q49738_MYCLE', 'Q9CCU8_MYCLE']",0,[],0,[]
